id_grupo_consulta,mes,id_m_persistente,version_receta,barraf_origen,factor_origen_m,fila_origen_posicion,rz_soc_suministrador,rut_suministrador,mwh_origen,mwh_destino_agregado,fila_destino_posicion
CONSULTA:05ea73b6f00e83c0fcbeb6ae,2511,M:febfd0c6e887559580d9b703,c901366eeefa640f27856b6ec834f0f1e2fd8c0c6abc4751c9f49e1151674b8f,ZALDIVAR______220,1.0,5144,Colbún S.A.,96505760-9,35619.86213,35619.86213,5144
CONSULTA:ddba2f5c1c46c9fb28b37637,2511,M:36e36a5c415ce1fa02b955c0,d2eb465603abee0b204cacb6fee2d55c4b31dd1c0c47c8da59beae67639fd905,EL_LINCE______023,1.0,1559,Engie Energía Chile S.A.,88006900-4,5178.150715,5178.150715,1559
CONSULTA:01c0b49999511d4e01db9ad8,2511,M:be3cdfce2d133a1ba4714afa,c0bb46dd6cd469372f0c72e98d76195cf52f73846e9f3d9491de42d62c791b27,TMELON________012,1.0,4920,Neoelectra Energía Chile SpA,77081321-2,303.084875,303.084875,4920
CONSULTA:a0d1e433b72acf8bc12e20bc,2511,M:a564af026079ac2863bb0d7a,08c7b7fbff031ebd4f849b61e487bd40636fd6fb17886821d4763e5ea487abff,CHACAYA_______110,1.0,1040,Engie Energía Chile S.A.,88006900-4,27057.479114,27057.479114,1040
CONSULTA:fc3c7cd027e4a9a932c44aba,2511,M:5ac63aaf5bbce1fbda6a190c,045d3920f0d01958bda4adf72c472d7882ad008209e2cd434e368764af28fdb4,ESPERANZA_SNG_220,1.0,1640,Colbún S.A.,96505760-9,1917.237353,1917.237353,1640
CONSULTA:fc3c7cd027e4a9a932c44aba,2511,M:5ac63aaf5bbce1fbda6a190c,045d3920f0d01958bda4adf72c472d7882ad008209e2cd434e368764af28fdb4,ESPERANZA_SNG_220,1.0,1641,Engie Energía Chile S.A.,88006900-4,72641.26067399999,72641.26067399999,1641
CONSULTA:f120e4cc961a113f7c6ca535,2511,M:0b16177844405b4decf079e2,018d42a224edac3b094ac0e8e53a1a8036414e3066354d4cd4ab679f58755611,TESORO________220,1.0,1619,Engie Energía Chile S.A.,88006900-4,15753.505610999999,15753.505610999999,1619
CONSULTA:ca01385215ec66ca2a36e339,2511,M:857b137170694f10b446978a,86cf4404109105cc77585ce0cfb158d7a287031f5ea7dc0a70f15d959ff91d0f,MEJILLONES____023,1.0,2957,Engie Energía Chile S.A.,88006900-4,3.158953,3.158953,2957
CONSULTA:2b26fb4ffdff6d47b14a51ad,2511,M:bf413050369dd6dfb8ac8ce9,eeb199c1add5303ce4a94b7393e95ed0651bba473ee453dd3d659d8053b8fce1,CHACAYA_______110,1.0,1041,Engie Energía Chile S.A.,88006900-4,1269.074541,1269.074541,1041
CONSULTA:fb105092352638a4d2e8c102,2511,M:dde791b5df34fab95b3cf394,ccf22b7d2138b31f2081d633f5bcaa3ccf08909c89b9f79cd1daeea6be119df7,QUINTERO______220,1.0,845,Enel Generación Chile S.A.,91081000-6,2998.8946589999996,2998.8946589999996,845
CONSULTA:ca41a4dcb0f540ccfafc68e4,2511,M:8c590bc637849b82de549058,a78af43170eaf2bf64b54e0b8b83b7787a2a53b64cca9cc631bad49aebc5adca,CALDERA_______110,1.0,737,Acciona Energía Chile Holdings S.A.,76437712-5,2727.652655,2727.652655,737
CONSULTA:bd2f9e82023c19b2f0c632c5,2511,M:9b5b0e4a1f3c74941fa9b2b1,5c91d0e2d6bfe4184813930d0dd66f9d2fa87343f878329e8ebad365a1ccbbd1,D.ALMAGRO_____110,1.0,1486,Guacolda Energía SpA,76418918-3,34148.918101999996,34148.918101999996,1486
CONSULTA:2f2866d576ddceb2e29abf75,2511,M:a0e5fd654e6f60849af245fb,8b10b4d80fe9e0aaf16f831cc88cd014fbfa886443b351f5d6a90ee9db4cf380,T.AMARILLA____110,1.0,4890,Colbún S.A.,96505760-9,4582.1926490000005,4582.1926490000005,4890
CONSULTA:51ec7ee393aebf84cc435ef5,2511,M:caba9ee54add27d5c246d12f,350d5c82cc0ec7fd873308b6cbf401fed9ab399994ca7fa294b3b3ddb3477597,CANTERAS______110,1.0,2105,Colbún S.A.,96505760-9,2941.401691,2941.401691,2105
CONSULTA:f94ddff1322630f690d2afd8,2511,M:d772498c4ccbe1cf2762d3f4,654bce423f842c958340f25f39882b46d4e6d1e10b60e3cf1874d14f42ed47d3,PALLATA_______220,1.0,3271,Enel Generación Chile S.A.,91081000-6,461.337506,461.337506,3271
CONSULTA:a481764e5a25740f200fc061,2511,M:1ddb37357e871b802f7a7cde,bdc421d61e02fa87dbf387ce834d326a24dfd0c79a6983881df5703a727a464e,S.P.PAPELES___066,1.0,3382,AES Andes S.A.,94272000-9,9268.599832,9268.599832,3382
CONSULTA:bd69e08dd11bcd6d36a3261e,2511,M:4a9a227b49c37d1d03343007,7d51f546074ef1b55404b82dd579b4d9476913fc7b58c600531176137a659aa6,M.BLANCOS_____023,1.0,2871,Guacolda Energía SpA,76418918-3,23314.65845,23314.65845,2871
CONSULTA:a74132f066921b70d80980cb,2511,M:3b53ec5244329a22763e1eed,9a729d1a581f9ae1122fac9ba5cd694765f6c25ba27bfef43cf2796b0661b193,PANAMERICANA__012,1.0,3315,AES Andes S.A.,94272000-9,4348.448,4348.448,3315
CONSULTA:e4bfffe28b4410ca5c8dbb8b,2511,M:66f4ee5b9ada31b7c8dc36f5,4a8b24aafabf70cef470e2efc2df5b937de3e2fcff827861ec52f8170e94d7c1,LA_CALERA_____110,1.0,1807,Enel Generación Chile S.A.,91081000-6,18511.259732000002,18511.259732000002,1807
CONSULTA:88c06a1cf4616721b4edb945,2511,M:35dfb285f80c2a1cc8e150ae,21431bb515a0977ad7afc35881ce79b63531abb52e546d86a9ccc59c3a293da1,POLPAICO______220,1.0,3569,Enel Generación Chile S.A.,91081000-6,112268.134851,112268.134851,3569
CONSULTA:460e86d1a0e9f9e822710ecb,2511,M:7a953f2fb9ae83bb6d05fc60,8b752a397186d908b3d30d1df3999091b06bd85ca4004935922f2f1551083f7d,CHAGRES_______110,1.0,1699,Enel Generación Chile S.A.,91081000-6,11201.959309,11201.959309,1699
CONSULTA:4a303875565f4ef649ff6375,2511,M:26c187cdcbaf9d640492ad01,af2287010227468317b2086181896c436f9d7c551ca99875589ea84af60c9197,SALAMANCA_____110,1.0,4026,EMOAC SpA,76208888-6,1396.428133,1396.428133,4026
CONSULTA:ff59e7a4e19da1b5ae75eb60,2511,M:68a8cdcd97accf1c43de9eec,9aa24a1bb3e6e158840aa6f7d7c5472b15316bfbf4a2a299fcbbfb8dc3c95536,PETROPOWER____066,1.0,3437,Enel Generación Chile S.A.,91081000-6,3051.692188,3051.692188,3437
CONSULTA:a184e79b0dabdac8b0dc010a,2511,M:5fd27f04f04a06e9d074072e,2f2f5329cf67e87f41486017b38483f6b661b13ad742cc0c27eb3951a96b2388,CARDONES______110,1.0,752,Acierta Energía SpA,77333033-6,303.420199,303.420199,752
CONSULTA:9cfba280f9043314682e2f72,2511,M:713f65e8da4f709c40006dfe,90a45a7b0138eea0a86cbdc115a8ea50948a28876cdd9dfeeb9ca52a0e9981fb,PETALTAL______033,1.0,3383,Enel Generación Chile S.A.,91081000-6,638.7840699999999,638.7840699999999,3383
CONSULTA:26eeeca5328eaf533150bf5c,2511,M:8d22907bfeca48e41d92afbb,a5baaafb274404db7af2d98773cf3344a7b2f0c6706505fa37518e159117e863,T.LLANBLANCOS_220,1.0,642,AES Andes S.A.,94272000-9,35742.107441,35742.107441,642
CONSULTA:6a8013958bc04bd848d0127c,2511,M:52cf992e609115d4aa9d472e,97d226b661150dc0e2ed31593b7d3916b098f45ac6e500a2d43ac6954413e38b,D.AMIGOS______023,1.0,1492,Enel Generación Chile S.A.,91081000-6,96.48661100000001,96.48661100000001,1492
CONSULTA:9ecc3d5952d846e8735d7bca,2511,M:d5b823c597b5022a062b8efe,354a4007926d0e7eea98f9ad306c1c12ade39a37cd65694eeebb40be31c7e6b5,AG.BLANCAS____013,1.0,0,On-Group S.A.,96827870-3,1478.6727420000002,1478.6727420000002,0
CONSULTA:57d6beafb950be0a051003de,2511,M:91ef89e663613d2d57789189,c0e9a40bf5d10a9bbf42c7abe2c9500c80b7183abca5238f0f45aff702ed8e38,LABERINTO_____220,1.0,2042,Engie Energía Chile S.A.,88006900-4,26179.722208,26179.722208,2042
CONSULTA:438c039c1ec107b3c3404ac8,2511,M:2cb6b3f286fb39fbf2d9cfff,e4897f1682ca2a0146deddf64bab64f82bd6a8bc4e7bd9ef91e7328516f677de,EL_MANZANO____023,1.0,1567,Colbún S.A.,96505760-9,4954.241367,4954.241367,1567
CONSULTA:438c039c1ec107b3c3404ac8,2511,M:2cb6b3f286fb39fbf2d9cfff,e4897f1682ca2a0146deddf64bab64f82bd6a8bc4e7bd9ef91e7328516f677de,EL_MANZANO____023,1.0,1568,Colbún S.A.,96505760-9,2517.97874,2517.97874,1568
CONSULTA:08ebd67e3e31198e9c075d2a,2511,M:0a554ced70fe14e8d8143447,74914d499ee0943e2370273b4129b0a110dd7efcac3719b7680ff0d743220ec6,C.PINTO_______220,1.0,773,Enel Generación Chile S.A.,91081000-6,12628.071615,12628.071615,773
CONSULTA:a9135e7ebb53c4d478fb66a9,2511,M:676f069162843be6b68f2c8e,17656ec84aa3261f48d4109f34812021b7bd7a2d618d6f28a635b917fbcd04de,OGP1__________220,1.0,3107,Colbún S.A.,96505760-9,42258.926937,42258.926937,3107
CONSULTA:a9135e7ebb53c4d478fb66a9,2511,M:676f069162843be6b68f2c8e,17656ec84aa3261f48d4109f34812021b7bd7a2d618d6f28a635b917fbcd04de,OGP1__________220,1.0,3108,Enel Generación Chile S.A.,91081000-6,42258.926935999996,42258.926935999996,3108
CONSULTA:f3cda7bb9382a67384dc9b0b,2511,M:80f576efaca3e88213949171,c1c8dc1ecad6c8b9ad3245a8182944385a5aa2e234ae8f52b135e61e761c3595,DOMEYKO_______220,1.0,1490,Colbún S.A.,96505760-9,46031.888420999996,46031.888420999996,1490
CONSULTA:f3cda7bb9382a67384dc9b0b,2511,M:80f576efaca3e88213949171,c1c8dc1ecad6c8b9ad3245a8182944385a5aa2e234ae8f52b135e61e761c3595,DOMEYKO_______220,1.0,1491,Enel Generación Chile S.A.,91081000-6,46031.888416999995,46031.888416999995,1491
CONSULTA:41d49db7986a4deee89e4464,2511,M:c33c5e3b24863ef4f222c36d,f58fd0860ccc2384a602e29ef298aaaa6b6350d4a454087d30c1051934c6bfd2,ESCONDIDA_____220,1.0,1620,Colbún S.A.,96505760-9,29195.768434,29195.768434,1620
CONSULTA:41d49db7986a4deee89e4464,2511,M:c33c5e3b24863ef4f222c36d,f58fd0860ccc2384a602e29ef298aaaa6b6350d4a454087d30c1051934c6bfd2,ESCONDIDA_____220,1.0,1621,Enel Generación Chile S.A.,91081000-6,29195.768434,29195.768434,1621
CONSULTA:5c44c0d142beb3de04f2d740,2511,M:4b8b7f9bfb1c8e916f68d852,37a65edba613ef823d5a57592caf67f836bde29bac53b56a5fd33c7e9a46e928,SULFUROS______220,1.0,4736,Colbún S.A.,96505760-9,24673.206749,24673.206749,4736
CONSULTA:5c44c0d142beb3de04f2d740,2511,M:4b8b7f9bfb1c8e916f68d852,37a65edba613ef823d5a57592caf67f836bde29bac53b56a5fd33c7e9a46e928,SULFUROS______220,1.0,4737,Enel Generación Chile S.A.,91081000-6,24673.206749,24673.206749,4737
CONSULTA:860d1198202cc469a75e1f92,2511,M:12777444cee98cae1f7bb0c6,86a9771855732d03199adc5cad0ff4b17070113d4dd942fbd904cf0ee414432e,FARELLON______220,1.0,1643,Colbún S.A.,96505760-9,12679.995968000001,12679.995968000001,1643
CONSULTA:860d1198202cc469a75e1f92,2511,M:12777444cee98cae1f7bb0c6,86a9771855732d03199adc5cad0ff4b17070113d4dd942fbd904cf0ee414432e,FARELLON______220,1.0,1644,Enel Generación Chile S.A.,91081000-6,12679.996142999998,12679.996142999998,1644
CONSULTA:565c65192bce2929f46f5c77,2511,M:50f04de39c9b0b43da6c601a,027e85da7af248aad9ac70521d7f758c369320c3c1171dcad80739af551c77b2,COLOSO________220,1.0,1296,Colbún S.A.,96505760-9,26910.737411,26910.737411,1296
CONSULTA:565c65192bce2929f46f5c77,2511,M:50f04de39c9b0b43da6c601a,027e85da7af248aad9ac70521d7f758c369320c3c1171dcad80739af551c77b2,COLOSO________220,1.0,1297,Enel Generación Chile S.A.,91081000-6,26910.737411,26910.737411,1297
CONSULTA:5eb93484bf8dfe522d7a0523,2511,M:8c724b16ca6d65507ab3ceae,55090dd28ccbe26bf2075eeeea6db93741b1344c6a75627b186a4877a1e57252,CHIMBORAZO____220,1.0,1093,Colbún S.A.,96505760-9,12527.713373,12527.713373,1093
CONSULTA:5eb93484bf8dfe522d7a0523,2511,M:8c724b16ca6d65507ab3ceae,55090dd28ccbe26bf2075eeeea6db93741b1344c6a75627b186a4877a1e57252,CHIMBORAZO____220,1.0,1094,Enel Generación Chile S.A.,91081000-6,12527.713373,12527.713373,1094
CONSULTA:18eb7a563912335c6fa8b097,2511,M:bd2a0dfe4e0d60da6ee3d524,e408014267b97edffcb36ae562625babd339ce406e97aefe75017241512bb8de,BOMBEO3_______004,1.0,4828,Colbún S.A.,96505760-9,481.697579,481.697579,4828
