id_grupo_consulta,cliente,rut_integracion,barraf_m,barra_infotecnica_m,id_barra_infotecnica_m,modo_consulta,estado,motivos_bloqueo,mwh_armonizado
CONSULTA:a25fbb93168cf4f63d8ecee2,CEMENTO POLPAICO S A,91337000-7,MEJILLONES____023,BA S/E MEJILLONES 23KV,S/I,VECTOR_UNICO,APTO_ARMONIZADO,,888.829915
CONSULTA:c6c519982be6e1352c0833d3,CEMENTO POLPAICO S A,91337000-7,PPEUCO________110,BA S/E PUNTA PEUCO 110KV BP1,1447,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,11446.144359
CONSULTA:fb9a82077703eec5add3f3a6,CEMENTO POLPAICO S A,91337000-7,TAP_POLPAICO__066,BA S/E POLPAICO(CEMENTOS POLPAICO) 66KV,1751,VECTOR_UNICO,APTO_ARMONIZADO,,1833.88843
CONSULTA:d499c16e5c99b38f207285e6,CEMENTOS BIO BIO DEL SUR S.A.,96755490-1,C.BIOBIO______066,BA S/E CEMENTOS BIO BIO 66KV,1142,VECTOR_UNICO,APTO_ARMONIZADO,,2264.479912
CONSULTA:9a1c540648cf67b1d2eb9fa1,CHILENA DE MOLDEADOS SPA,93658000-9,PALTO_________110,BA S/E PUENTE ALTO (CMPC) 110KV BP1,1202,VECTOR_UNICO,APTO_ARMONIZADO,,823.553598
CONSULTA:ac8a3b7b688c862ffaba316d,CIA EXPLORADORA Y EXPLOTADORA MINERA CHILENO RUMANA S A,82789400-1,CERRILLOS_____013,BA S/E CERRILLOS 23KV,537,VECTOR_UNICO,APTO_ARMONIZADO,,6693.854494
CONSULTA:1deefd1d30863d6077b23117,CIA MINERA CERRO COLORADO LTDA,94621000-5,P.ALMONTE_____110,BA S/E POZO ALMONTE 110KV BP1,2238,VECTOR_UNICO,APTO_ARMONIZADO,,136.88953400000003
CONSULTA:cc11be8989f66c7f11de0473,CIA MINERA CERRO NEGRO S A,91614000-2,CATEMU________044,BA S/E CATEMU 44kV BP1,1727,VECTOR_UNICO,APTO_ARMONIZADO,,2148.317846
CONSULTA:1ff2a2e56be798a9eb42f897,CIA MINERA DEL PACIFICO S.A.,94638000-8,CERRONEGRONOR_220,BA S/E CERRO NEGRO NORTE 220KV BP1,1409,VECTOR_UNICO,APTO_ARMONIZADO,,16714.415050000003
CONSULTA:96f017716f7e0037df867109,CIA MINERA DEL PACIFICO S.A.,94638000-8,ROMERAL_______110,BA S/E ROMERAL 110KV,S/I,VECTOR_UNICO,APTO_ARMONIZADO,,6826.3966900000005
CONSULTA:acd037222ed2c350e338236c,CIA MINERA DEL PACIFICO S.A.,94638000-8,CARDONES______110,BA S/E CARDONES 110KV,1209,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,11651.763409
CONSULTA:bad66a234b2a66dbee9cddea,CIA MINERA DEL PACIFICO S.A.,94638000-8,HUASCO________110,BA S/E HUASCO 110KV BP1-1,490,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,21249.289087999998
CONSULTA:e98f2f417619ddc880991bbf,CIA MINERA DEL PACIFICO S.A.,94638000-8,L.COLOR1______110,BA S/E LOS COLORADOS 110KV BP1,1097,VECTOR_UNICO,APTO_ARMONIZADO,,5485.1448199999995
CONSULTA:f6007f8bd024eeb4337ff5d8,CIA MINERA DEL PACIFICO S.A.,94638000-8,TOTORALICMP___220,BA S/E TOTORALILLO 220KV BP1,1380,VECTOR_UNICO,APTO_ARMONIZADO,,6138.328035
CONSULTA:49e7c0a460438ec9ddfd1c3b,CIA MINERA DONA INES DE COLLAHUASI SCM,89468900-5,TARAPACA______220,BA S/E TARAPACA 220KV BP1,2372,VECTOR_UNICO,APTO_ARMONIZADO,,11411.606819
CONSULTA:c5947f61638822e235d0220e,CIA MINERA DONA INES DE COLLAHUASI SCM,89468900-5,COLLAHUASI____220,BA S/E COLLAHUASI 220KV BP1,2039,VECTOR_UNICO,APTO_ARMONIZADO,,127468.14428899999
CONSULTA:f5c4b76d7700c3fa4356a409,CIA MINERA DONA INES DE COLLAHUASI SCM,89468900-5,CAHUIZA_______220,BA S/E CAHUIZA 220KV BP1,9999,VECTOR_UNICO,APTO_ARMONIZADO,,23616.749703
CONSULTA:a184e79b0dabdac8b0dc010a,CIA MINERA MARICUNGA,78095890-1,CARDONES______110,BA S/E CARDONES 110KV,1209,VECTOR_UNICO,APTO_ARMONIZADO,,303.420199
CONSULTA:2b0748ee81868e0d1f97e1d5,CIA PAPELERA DEL PACIFICO S A,96554890-4,S.F.MOSTAZAL__013,BA S/E SAN FRANCISCO DE MOSTAZAL 15KV BP1,166,VECTOR_UNICO,APTO_ARMONIZADO,,4610.673649
CONSULTA:67416d5163e3d1d013f1bfda,CIA PORTUARIA MEJILLONES S A,96789280-7,MEJILLONES____023,BA S/E MEJILLONES 23KV,S/I,VECTOR_UNICO,APTO_ARMONIZADO,,1081.943622
CONSULTA:6e2541e2936b1af57083775e,CIA SIDERURGICA HUACHIPATO S.A.,94637000-2,S.VICENTE_____154,BA S/E SAN VICENTE 154KV BP2-1,1672,VECTOR_UNICO,APTO_ARMONIZADO,,1266.1303130000001
CONSULTA:af7c2a1b07027f8cbec9cf97,CLARO CHILE SPA,96799250-K,MEJILLONES____110,BA S/E MEJILLONES 110KV BP,2184,VECTOR_UNICO,APTO_ARMONIZADO,,3.137574
CONSULTA:1b070a577a64f7aacdfb8d72,CMPC MADERAS SPA,95304000-K,BUCALEMU______066,BA S/E BUCALEMU 66KV,61,VECTOR_UNICO,APTO_ARMONIZADO,,8.788488
CONSULTA:4a21bae8d219b9ba346efda1,CMPC MADERAS SPA,95304000-K,PICOLTUE______023,BA S/E PICOLTUE 23KV B. PRINCIPAL,1405,VECTOR_UNICO,APTO_ARMONIZADO,,1918.815459
CONSULTA:a582690857e36316c7c08d12,CMPC MADERAS SPA,95304000-K,CELPACIFICO___220,BA S/E CELULOSA PACIFICO 220KV BP1,1773,VECTOR_COMPARTIDO,OMITIDO_BARRAF_AUSENTE_EN_ENS,,
CONSULTA:2e433d724326ba76266656c8,CMPC PULP SPA,96532330-9,CELPACIFICO___220,BA S/E CELULOSA PACIFICO 220KV BP1,1773,VECTOR_COMPARTIDO,OMITIDO_BARRAF_AUSENTE_EN_ENS,,
CONSULTA:3df914242f6a341620d07258,CMPC PULP SPA,96532330-9,LAJA__________220,BA S/E CELULOSA LAJA 220KV BP1,1770,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,2514.9634300000002
CONSULTA:57d6beafb950be0a051003de,COMPANIA MINERA LOMAS BAYAS,78512520-7,LABERINTO_____220,BA S/E LABERINTO 220KV BP2,2154,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,26179.722208
CONSULTA:08ebd67e3e31198e9c075d2a,COMPANIA MINERA MANTOS DE ORO,78928380-K,C.PINTO_______220,BA S/E CARRERA PINTO 220KV BP1-1,466,VECTOR_UNICO,APTO_ARMONIZADO,,12628.071615
CONSULTA:783fa679555da97327342b54,COMPANIA MINERA NEVADA SPA,85306000-3,P.COLORADA____220,BA S/E PUNTA COLORADA 220KV BP1,1359,VECTOR_UNICO,APTO_ARMONIZADO,,7440.654642
CONSULTA:26eeeca5328eaf533150bf5c,COMPANIA MINERA TECK CARMEN DE ANDACOLLO,78126110-6,T.LLANBLANCOS_220,BA S/E C.R. LLANOS BLANCOS 220KV BP,3197,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,35742.107441
CONSULTA:a4205d67a4968408329311f0,COMPANIA MINERA TECK QUEBRADA BLANCA S.A.,96567040-8,GEOGLIFOS_____220,BA S/E GEOGLIFOS 220KV BP1,3272,VECTOR_UNICO,APTO_ARMONIZADO,,4448.634201
CONSULTA:ab735856ac378d78b0d1d874,COMPANIA MINERA TECK QUEBRADA BLANCA S.A.,96567040-8,PUERTOPATACHE_220,BA S/E PUERTO PATACHE 220KV B1,3288,VECTOR_UNICO,APTO_ARMONIZADO,,10561.62649
CONSULTA:c4d0476833b09a75f4ff7bf1,COMPANIA MINERA TECK QUEBRADA BLANCA S.A.,96567040-8,LAGUNAS_______220,BA S/E LAGUNAS 220KV BP1,2160,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,117425.29551199998
CONSULTA:05ea73b6f00e83c0fcbeb6ae,COMPANIA MINERA ZALDIVAR SPA,76485762-3,ZALDIVAR______220,BA S/E ZALDIVAR 220KV BP1,2384,VECTOR_UNICO,APTO_ARMONIZADO,,35619.86213
CONSULTA:e5f72dd6b6b4599aed343200,COMPAÑIA CONTRACTUAL MINERA CANDELARIA LTDA,85272800-0,CARDONES______220,BA S/E CARDONES 220KV BP1-1,465,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,66767.384714
CONSULTA:b104b4b0254872b67006aea9,COMPLEJO INDUSTRIAL MOLYNOR S.A.,76016222-1,MEJILLONES____023,BA S/E MEJILLONES 23KV,S/I,VECTOR_UNICO,APTO_ARMONIZADO,,1342.058662
CONSULTA:f3659db72dd9d66b217d2533,COMPLEJO METALURGICO ALTONORTE S.A.,88325800-2,ALTONORTE_____110,BA S/E ALTO NORTE 110KV BP,1871,VECTOR_UNICO,APTO_ARMONIZADO,,28305.973251
CONSULTA:dfb2723fba6c346b9aefbb77,COOP AGRICOLA Y LECHERA DE LA UNION LTDA,81094100-6,L.UNION_______013,BA S/E LA UNION 13.8KV,420,VECTOR_UNICO,APTO_ARMONIZADO,,5321.506971
CONSULTA:0408091579a6678bdc26a29c,COOP ESP DE ABAST DISTRIB Y VTA ENER ELECT MAMINA LTDA,72858600-1,P.ALMONTE_____110,BA S/E POZO ALMONTE 110KV BP1,2238,VECTOR_UNICO,APTO_ARMONIZADO,,42.711769999999994
CONSULTA:136e9cea590bd1e143631491,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,SALADILLO_____066,BA S/E SALADILLO 66KV B1,1153,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,19916.578986
CONSULTA:157d6bc33261d2264869a3f9,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,TCHITACK______220,BA S/E TCHITACK 220KV BP1,2820,VECTOR_UNICO,APTO_ARMONIZADO,,29525.944994999998
CONSULTA:1b2399a38e1bea1ccae6e59f,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,MMH___________220,BA S/E MMH 220KV BP1,2172,VECTOR_UNICO,APTO_ARMONIZADO,,47226.756314
CONSULTA:2cb636d1ac4531b13c0e1e4f,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,L.MAQUIS______220,BA S/E LOS MAQUIS 220KV BP1-1 (AIS),93,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,49139.836525
CONSULTA:2e4077d1ebf065f4b7f5890f,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,CHUQUICAMATA__220,BA S/E CHUQUICAMATA 220KV BP1,2031,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,88522.571883
CONSULTA:641e9490e6cdb701f74c2c10,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,SALAR_________220,BA S/E SALAR 220KV BP1,2271,VECTOR_UNICO,APTO_ARMONIZADO,,50062.903286
CONSULTA:9367f941d7f7f44e15b2b322,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,D.ALMAGRO_____110,BA S/E DIEGO DE ALMAGRO 110KV BP1-1,480,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,18239.760934
CONSULTA:bbe432bea0fef4a989f2f96e,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,GABY__________220,BA S/E GABY 220KV BP,2123,VECTOR_UNICO,APTO_ARMONIZADO,,30458.305594
CONSULTA:c430258bf8c67c3a83165861,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,ENL.MAITENES__110,BA S/E CODELCO VENTANAS 1 110KV BP1,3102,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,6459.627923999999
CONSULTA:d5cbb681f8c83d70dc5bb872,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,A_____________100,BA S/E A 100KV BP1,1862,VECTOR_UNICO,OMITIDO_BARRAF_AUSENTE_EN_ENS,,
CONSULTA:d6c2d4a9a16dbca45b0961e2,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,R.TOMIC_______220,BA S/E RADOMIRO TOMIC 220KV BP1,2259,VECTOR_UNICO,APTO_ARMONIZADO,,58051.809928999995
CONSULTA:e2851a986225406924d2ff54,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,MINERO________110,BA S/E MINERO 115KV BP1,2475,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,83933.625535
CONSULTA:ef79d5e8d8141ce8efb0c38a,CRISTALERIAS DE CHILE S A,90331000-6,LLAYLLAY______110,BA S/E CRISTALERIAS 110KV BP1,3533,VECTOR_UNICO,APTO_ARMONIZADO,,4085.8993259999997
CONSULTA:b9a2b05eb464e0fe01059f87,ECOMETALES LIMITED AGENCIA EN CHILE,59087530-9,KM6___________100,BA S/E KM6 100KV BP1,2138,VECTOR_UNICO,APTO_ARMONIZADO,,512.188098
CONSULTA:51ec7ee393aebf84cc435ef5,EDGECONNEX CHILE II SPA,77287941-5,CANTERAS______110,BA S/E LAS CANTERAS 23KV BP1,3972,VECTOR_UNICO,APTO_ARMONIZADO,,2941.401691
CONSULTA:9b7a118b52a00a4879879828,EKA CHILE S A,99500140-3,EKA.CHILE_____154,BA S/E EKA CHILE 154KV BP1,1144,VECTOR_UNICO,APTO_ARMONIZADO,,26036.99733
CONSULTA:c5cccee4aaa9b9baebfe939c,EMPRESA CONCESIONARIA DE SERVICIOS SANITARIOS S A,96579410-7,H.FUENTES_____013,BA S/E HERNAN FUENTES 23KV,1227,VECTOR_UNICO,APTO_ARMONIZADO,,346.80667800000003
CONSULTA:f3f00835f06fde83738a5e14,EMPRESA DE LOS FERROCARRILES DEL ESTADO,61216000-7,,,,REPARTO_PC_AUTORIZADO,BLOQUEADO,APTO_COMPOSICION=0; M_NO_RESUELTO:REPARTO_PC_RESUELTO; EFE_REGLA_ESPECIAL_AISLADA_V1; IDENTIDAD_M_O_CLIENTE_INCOMPLETA; FILA_DE_COMPOSICION_NO_APTA,
CONSULTA:1841096cfe7632307212b817,EMPRESA DE TRANSPORTE DE PASAJEROS METRO S A,61219000-3,RENCA_________110,BA S/E RENCA 110KV BP1,895,VECTOR_UNICO,APTO_ARMONIZADO,,3036.9161839999997
CONSULTA:2474f09eab43a8bb9d555829,EMPRESA DE TRANSPORTE DE PASAJEROS METRO S A,61219000-3,NEPTUNO_______220,BA S/E NEPTUNO 20KV B1,S/I,VECTOR_UNICO,APTO_ARMONIZADO,,21681.716447999996
CONSULTA:805ab350bcb4737622a406a1,EMPRESA DE TRANSPORTE DE PASAJEROS METRO S A,61219000-3,STA_RAQUEL____020,BA S/E SANTA RAQUEL 20.4KV BP5,S/I,VECTOR_UNICO,APTO_ARMONIZADO,,2745.988902
CONSULTA:a91b01806a134f34a89f7063,EMPRESA DE TRANSPORTE DE PASAJEROS METRO S A,61219000-3,METRO_________110,BA S/E METRO BARRA 110KV BP1,1121,VECTOR_UNICO,APTO_ARMONIZADO,,6208.515552000001
CONSULTA:ace08137a7265f64d91b6e50,EMPRESA DE TRANSPORTE DE PASAJEROS METRO S A,61219000-3,OCHAGAVIA_____110,BA S/E OCHAGAVIA 110KV BP1,851,VECTOR_UNICO,APTO_ARMONIZADO,,3437.450836
CONSULTA:e0cf5304de3ca75f597934a0,EMPRESA DE TRANSPORTE DE PASAJEROS METRO S A,61219000-3,MACUL_________020,BA S/E MACUL 20.4KV BP6,837,VECTOR_UNICO,APTO_ARMONIZADO,,3258.4478560000007
CONSULTA:a7d03571f9498b742b4e705c,EMPRESA NACIONAL DE ENERGIA ENEX S.A.,92011000-2,VENTANAS______110,BA S/E VENTANAS 110KV BP1-1,1169,VECTOR_UNICO,APTO_ARMONIZADO,,41.812087
CONSULTA:5afcdef35ee39f29e637f061,EMPRESA NACIONAL DE MINERIA,61703000-4,CARDONES______110,BA S/E CARDONES 110KV,1209,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,4203.380139999999
CONSULTA:83a1164ef28c953d4df90bd6,EMPRESA NACIONAL DE TELECOMUNICACIONES S A,92580000-7,TOFF.DOLORES__023,BA S/E TAP OFF DOLORES 24KV,2315,VECTOR_UNICO,OMITIDO_BARRAF_AUSENTE_EN_ENS,,
CONSULTA:2a8e8514f35601e9924509b9,ENAEX S A,90266000-3,MEJILLONES____110,BA S/E MEJILLONES 110KV BP,2184,VECTOR_UNICO,APTO_ARMONIZADO,,3323.37837
CONSULTA:35a45f1ba4bc863e9096a71f,ENAP REFINERIAS S A,87756500-9,TORQUEMADA____110,BA S/E TORQUEMADA 110kV BP1,1351,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,174.875733
CONSULTA:4a288645119f623b3500fa47,ENAP REFINERIAS S A,87756500-9,PETROPOWER____066,BA S/E PETROPOWER 66KV BP1,101,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,26211.558782
CONSULTA:4fd2ed25c3af76f165507aea,ENAP REFINERIAS S A,87756500-9,VENTANAS______110,BA S/E VENTANAS 110KV BP1-1,1169,VECTOR_UNICO,APTO_ARMONIZADO,,669.700516
CONSULTA:1772d0dba6e177c743b3ad1c,ENGIE ENERGIA CHILE S.A.,88006900-4,CHACAYA_______110,BA S/E CHACAYA 110KV BP1,2012,VECTOR_UNICO,APTO_ARMONIZADO,,295.740623
CONSULTA:7d2de1cce69455e1524d96c2,ENGIE ENERGIA CHILE S.A.,88006900-4,ARICA_________066,BA S/E ARICA 66KV BP1,1897,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,60.806591
CONSULTA:836ab03695b86adc0d39e3be,ENGIE ENERGIA CHILE S.A.,88006900-4,CHAPIQUINA____013,BA S/E CENTRAL CHAPIQUIÑA 13.2KV,S/I,VECTOR_UNICO,APTO_ARMONIZADO,,169.36696700000002
CONSULTA:5c427b7645034dfd1ce3ad3c,ENORCHILE S.A.,96774300-3,TOFF.DOLORES__023,BA S/E TAP OFF DOLORES 24KV,2315,VECTOR_UNICO,APTO_ARMONIZADO,,44.363218
CONSULTA:bb57ab2fba04265d4fd9b1c3,FPC PAPELES SPA,96528420-6,FOPACO________006,BA S/E FPC 6KV BP1,3590,VECTOR_UNICO,APTO_ARMONIZADO,,4935.456053999999
CONSULTA:5765d7de00e28cb3eeb490e2,FPC TISSUE SPA,76319017-K,FOPACO________154,BA S/E FPC 154KV BP1,2521,VECTOR_UNICO,APTO_ARMONIZADO,,5782.43267
CONSULTA:8c462595f8c14b582396d5ad,FUNDICION TALLERES LIMITADA,99532410-5,RANCAGUA______154,BA S/E RANCAGUA 154KV BP1,1245,VECTOR_UNICO,APTO_ARMONIZADO,,2036.615982
CONSULTA:ea30734e92ec11cee4621d6a,FUNDICION TALLERES LIMITADA,99532410-5,MAESTRANZA____013,BA TAP MAESTRANZA 66KV,1261,VECTOR_UNICO,APTO_ARMONIZADO,,1757.925402
CONSULTA:fb105092352638a4d2e8c102,GNL QUINTERO SA,76788080-4,QUINTERO______220,BA S/E CENTRAL QUINTERO 220KV BP1,1794,VECTOR_UNICO,APTO_ARMONIZADO,,2998.8946589999996
CONSULTA:4a757c37e0c002b761d9ac83,GRACE S A,99565400-8,TBARRILES_____220,BA S/E TAP OFF BARRILES 220KV BP,2308,VECTOR_UNICO,APTO_ARMONIZADO,,5723.30795
CONSULTA:9cfba280f9043314682e2f72,GUANACO COMPANIA MINERA SPA,78097950-K,PETALTAL______033,BA S/E PAPOSO 220KV BP2,1631,VECTOR_UNICO,APTO_ARMONIZADO,,638.7840699999999
CONSULTA:d9c663317a67462ac60439fa,HALDEMAN MINING COMPANY S A,96955560-3,P.ALMONTE_____066,BA S/E POZO ALMONTE 66KV,2245,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,7.713842
CONSULTA:c8e157070eb7982602d94840,INDURA S.A.,76150343-K,L.INDURA______066,BA S/E LIRQUEN INDURA 66kV BP1,1146,VECTOR_UNICO,APTO_ARMONIZADO,,3443.077405
CONSULTA:ca9a55adcb94aa5ddef4bbc0,INDURA S.A.,76150343-K,INDURA________066,BA S/E GRANEROS INDURA 66kV BP1,1827,VECTOR_UNICO,APTO_ARMONIZADO,,2972.863964
CONSULTA:a3bd521538581382fe520e35,INDUSTRIAS CHILENAS DE ALAMBRE INCHALAM S.A.,91868000-4,S.VICENTE_____013,BA S/E SAN VICENTE 13.2KV SECCION A,522,VECTOR_UNICO,APTO_ARMONIZADO,,1658.5200479999999
CONSULTA:fa9586f2bd0ef3f83c5ca6d0,INVERSIONES Y SERVICIOS DATALUNA LIMITADA,76117026-0,TLIBERTADORES_110,BA S/E TAP LIBERTADORES 110 KV BP1,2967,VECTOR_UNICO,APTO_ARMONIZADO,,25311.822627999998
CONSULTA:284c60cd23ee4e39e717bec7,LINCE S.A.,76188363-1,C.PINTO_______220,BA S/E CARRERA PINTO 220KV BP1-1,466,VECTOR_UNICO,APTO_ARMONIZADO,,11.148307
CONSULTA:a74132f066921b70d80980cb,LO ESPEJO DATA CENTER SPA,77460345-K,PANAMERICANA__012,BA S/E PANAMERICANA 12KV BP1,870,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,4348.448
CONSULTA:0f1f110eccd6267600f66871,MADERAS ARAUCO S.A.,96510970-6,TENO__________154,BA S/E TENO 154KV BP1,310,VECTOR_UNICO,APTO_ARMONIZADO,,4800.903542
CONSULTA:8fa8050aa4afa479d765854a,MADERAS ARAUCO S.A.,96510970-6,CHOLGUAN______013,BA S/E CHOLGUAN (STS) 13.2KV BP,403,VECTOR_UNICO,APTO_ARMONIZADO,,2339.594123
CONSULTA:905dd2d81c56f229099127a2,MADERAS ARAUCO S.A.,96510970-6,CONSTIT.______066,BA S/E CONSTITUCION 66KV BP1,566,VECTOR_UNICO,APTO_ARMONIZADO,,6.195024
CONSULTA:438c039c1ec107b3c3404ac8,MAGOTTEAUX ANDINO S.A.,78803130-0,EL_MANZANO____023,BA S/E EL MANZANO (ENEL TRANSMISION) 23KV BP1,732,VECTOR_UNICO,APTO_ARMONIZADO,,7472.220106999999
